time,f0,speaker,date,condition
16.462,267.67786,5,20240724,conversation
16.467,265.723086,5,20240724,conversation
16.472,266.016266,5,20240724,conversation
16.477,270.858139,5,20240724,conversation
16.482,275.636169,5,20240724,conversation
16.487,277.373786,5,20240724,conversation
16.492,273.71226,5,20240724,conversation
16.497,265.518319,5,20240724,conversation
16.502,261.074489,5,20240724,conversation
16.507,261.996416,5,20240724,conversation
16.512,271.497047,5,20240724,conversation
16.517,276.562151,5,20240724,conversation
16.522,223.552305,5,20240724,conversation
16.527,233.505122,5,20240724,conversation
16.532,237.591225,5,20240724,conversation
16.537,239.61383,5,20240724,conversation
16.542,240.278441,5,20240724,conversation
16.547,240.102901,5,20240724,conversation
16.552,239.810071,5,20240724,conversation
16.557,239.770673,5,20240724,conversation
16.562,239.560501,5,20240724,conversation
16.567,239.10831,5,20240724,conversation
16.572,238.967879,5,20240724,conversation
16.577,239.399907,5,20240724,conversation
16.582,238.570558,5,20240724,conversation
16.587,236.849673,5,20240724,conversation
16.592,235.093589,5,20240724,conversation
16.597,231.786661,5,20240724,conversation
16.602,225.529532,5,20240724,conversation
16.607,220.582415,5,20240724,conversation
16.612,224.039375,5,20240724,conversation
16.617,229.670412,5,20240724,conversation
16.622,230.997887,5,20240724,conversation
16.627,229.012999,5,20240724,conversation
16.632,226.193393,5,20240724,conversation
16.637,227.523047,5,20240724,conversation
16.642,233.228015,5,20240724,conversation
16.647,239.580746,5,20240724,conversation
16.652,240.238288,5,20240724,conversation
16.657,239.514927,5,20240724,conversation
16.662,239.48312,5,20240724,conversation
16.667,239.985257,5,20240724,conversation
16.672,240.329967,5,20240724,conversation
16.677,239.344144,5,20240724,conversation
16.682,236.810235,5,20240724,conversation
16.687,233.656878,5,20240724,conversation
16.692,230.231884,5,20240724,conversation
16.697,227.712903,5,20240724,conversation
16.702,227.764699,5,20240724,conversation
16.707,228.174518,5,20240724,conversation
16.712,227.247109,5,20240724,conversation
16.717,225.685609,5,20240724,conversation
16.722,220.210255,5,20240724,conversation
16.727,217.20197,5,20240724,conversation
16.732,217.503629,5,20240724,conversation
16.737,217.865937,5,20240724,conversation
16.742,217.48881,5,20240724,conversation
16.747,216.981687,5,20240724,conversation
16.752,217.101857,5,20240724,conversation
16.757,217.917856,5,20240724,conversation
16.762,219.195643,5,20240724,conversation
16.767,220.625125,5,20240724,conversation
16.772,221.549795,5,20240724,conversation
16.777,221.57327,5,20240724,conversation
16.782,221.056826,5,20240724,conversation
16.787,220.648469,5,20240724,conversation
16.792,220.792331,5,20240724,conversation
16.797,221.309687,5,20240724,conversation
16.802,221.470299,5,20240724,conversation
16.807,220.774238,5,20240724,conversation
16.812,219.12915,5,20240724,conversation
16.817,217.383878,5,20240724,conversation
16.822,216.412756,5,20240724,conversation
16.827,215.592126,5,20240724,conversation
16.832,214.435608,5,20240724,conversation
16.837,213.171784,5,20240724,conversation
16.842,212.208992,5,20240724,conversation
16.847,211.694543,5,20240724,conversation
16.852,211.439896,5,20240724,conversation
16.857,211.134989,5,20240724,conversation
16.862,210.845337,5,20240724,conversation
16.867,210.739577,5,20240724,conversation
16.872,210.730213,5,20240724,conversation
16.877,210.437264,5,20240724,conversation
16.882,209.958314,5,20240724,conversation
16.887,209.612545,5,20240724,conversation
16.892,209.359718,5,20240724,conversation
16.897,209.187065,5,20240724,conversation
16.902,209.228086,5,20240724,conversation
16.907,209.354578,5,20240724,conversation
16.912,209.158945,5,20240724,conversation
16.917,208.787488,5,20240724,conversation
16.922,208.51094,5,20240724,conversation
16.927,209.111623,5,20240724,conversation
16.932,212.904835,5,20240724,conversation
16.937,223.690737,5,20240724,conversation
16.942,255.43327,5,20240724,conversation
16.947,256.881716,5,20240724,conversation
16.952,256.743309,5,20240724,conversation
16.957,256.11885,5,20240724,conversation
